A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,setup,[self:Any;keep:Any],None,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,setup,[self:Any;sort:Any],None
/app/Repos/pandas/asv_bench/benchmarks/binary_ops.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io/stata.py,setup,[self:Any;convert_dates:Any],None
/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,setup,[self:Any;dropna:Any],None,/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,setup,[self:Any;axis:Any],None,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,setup,[self:Any;how:Any;axis:Any],None
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,setup,[self:Any;inplace:Any],None
/app/Repos/pandas/asv_bench/benchmarks/gil.py,setup,[self:Any;threads:Any;method:Any],None,/app/Repos/pandas/asv_bench/benchmarks/gil.py,setup,[self:Any;threads:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup_cache,[],None,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup_cache,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup_cache,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup_cache,[self:Any],None,/app/Repos/pandas/pandas/tests/groupby/test_groupby.py,test_fast_apply,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/indexing.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,setup,[self:Any;index:Any],None
/app/Repos/pandas/asv_bench/benchmarks/indexing.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,setup,[self:Any;lines_orient:Any],None
/app/Repos/pandas/asv_bench/benchmarks/indexing.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,setup,[self:Any;orient:Any;index:Any],None
/app/Repos/pandas/asv_bench/benchmarks/indexing.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/plotting.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/indexing.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,setup,[self:Any;method:Any],None
/app/Repos/pandas/asv_bench/benchmarks/io/csv.py,setup,[self:Any;skiprows:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,setup,[self:Any;engine:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,setup,[self:Any;format:Any],None
/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,setup,[self:Any;engine:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io/msgpack.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,setup,[self:Any;engine:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,setup,[self:Any;engine:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io/stata.py,setup,[self:Any;convert_dates:Any],None
/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,setup,[self:Any;format:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io/msgpack.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,setup,[self:Any;format:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,setup,[self:Any;format:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io/stata.py,setup,[self:Any;convert_dates:Any],None
