change_type,method_t_token_hash,method_t1_token_hash,similarity
exact,d7bb957960e6436dc75d6c65b092e60a,d7bb957960e6436dc75d6c65b092e60a,1.000
exact,234c0fd3f5b3908bb41255965b4def03,234c0fd3f5b3908bb41255965b4def03,1.000
exact,cfdd381193b4e68d0155f63892b4fa7c,cfdd381193b4e68d0155f63892b4fa7c,1.000
exact,b40e47fba921a330569ded5693931a7b,b40e47fba921a330569ded5693931a7b,1.000
exact,dc3e2da33d9951732d2174511b654563,dc3e2da33d9951732d2174511b654563,1.000
exact,4c8e90509ff5320336fde5c7ccf32da2,4c8e90509ff5320336fde5c7ccf32da2,1.000
exact,75162d3ab033b7165761814677fa3dc2,75162d3ab033b7165761814677fa3dc2,1.000
exact,358bb4cc8de2353457990860c59c24b5,358bb4cc8de2353457990860c59c24b5,1.000
exact,28740f9fac60da3b845e8ace343e331c,28740f9fac60da3b845e8ace343e331c,1.000
exact,9d39d15b32d4109df907c054650fd1e1,9d39d15b32d4109df907c054650fd1e1,1.000
exact,60d97fa9fd0251bace89e65d849eaf9d,60d97fa9fd0251bace89e65d849eaf9d,1.000
exact,0fed5afa4d202fbd644d049d6175883f,0fed5afa4d202fbd644d049d6175883f,1.000
exact,94c5a5a908f097315765eb9f60eac29c,94c5a5a908f097315765eb9f60eac29c,1.000
exact,7c962f811cda502a68112fdcf7539ef1,7c962f811cda502a68112fdcf7539ef1,1.000
exact,eed05e3a88b4b1c2cb3d5f9179ff7911,eed05e3a88b4b1c2cb3d5f9179ff7911,1.000
exact,7f822de0449bd3eff60cc80e7e8cba2d,7f822de0449bd3eff60cc80e7e8cba2d,1.000
exact,da9c4cb6365121484c7e2168e70046db,da9c4cb6365121484c7e2168e70046db,1.000
exact,e2cc17b4593d860bc862ffd1f9d664f2,e2cc17b4593d860bc862ffd1f9d664f2,1.000
exact,dc1c743ed56c2fdf8106018aa5c58796,dc1c743ed56c2fdf8106018aa5c58796,1.000
exact,006537f2ecd2bda068361f5079e248c8,006537f2ecd2bda068361f5079e248c8,1.000
exact,72e6f66c1ab88c00bbf25aa84340b850,72e6f66c1ab88c00bbf25aa84340b850,1.000
exact,6153352698326961657fb6c71d69cb41,6153352698326961657fb6c71d69cb41,1.000
exact,db7d938ff28e1168b1ff964038397367,db7d938ff28e1168b1ff964038397367,1.000
exact,214597623fbb600fb5579d043de044dd,ea8dc7266bc4a17788e279dc2f26c4b6,1.000
exact,089ae1960b5cc24aa077759afc3d7a2d,089ae1960b5cc24aa077759afc3d7a2d,1.000
exact,4091a70037aefabcf031c9d3f272857d,4091a70037aefabcf031c9d3f272857d,1.000
exact,d1cc9e4ed5bd95f0a154e9c77e95213f,d1cc9e4ed5bd95f0a154e9c77e95213f,1.000
exact,5adbd0cc5549b1037b605beef7845be3,851b4223dfbde5418c9e9687374db064,1.000
exact,e7a2210fa1bbfa8b82d68eddacc633f7,e7a2210fa1bbfa8b82d68eddacc633f7,1.000
exact,4981a7f043bf0cb3d0e16e9e25d7ff61,4981a7f043bf0cb3d0e16e9e25d7ff61,1.000
exact,835de6d8d3c9b7d7d2f6a8f252c40623,ec3c4ec871a75cb3e0f7305bea5bbaf6,1.000
exact,6dc5f9cdccaf4e7d757ff93a1c848715,6dc5f9cdccaf4e7d757ff93a1c848715,1.000
exact,28be9bd35923dceae7cb7cdc76ca6cae,28be9bd35923dceae7cb7cdc76ca6cae,1.000
exact,9398a6530c1cb1e08a2a5cb9ea32c564,9398a6530c1cb1e08a2a5cb9ea32c564,1.000
exact,7cac720d5ef536e1a9c92acb2e264161,de514175e432f83305d8911542811b4d,1.000
exact,91b85e09e402fdf41b5f383b1348c329,91b85e09e402fdf41b5f383b1348c329,1.000
exact,ad39a7302278d17763b330dfdca06dcb,ad39a7302278d17763b330dfdca06dcb,1.000
exact,f0039f946afc3dc24e8f2736b1fafd91,6c81a2fd5514b70f709295c59f26942c,1.000
exact,91040cea04b668f4614f61232b738d16,91040cea04b668f4614f61232b738d16,1.000
exact,7e0297130a30db9d9f989940cd6d93b8,7e0297130a30db9d9f989940cd6d93b8,1.000
exact,abcacfae2b4a71f913e0b02e0d63000c,27237fc88dda32a276a7ca68ef21b8c2,1.000
exact,6250409a2ebb69cb83c27503a46ec74d,6250409a2ebb69cb83c27503a46ec74d,1.000
exact,051c5209788b826b04fc3da4a17d5c5d,c6ec55713504a1910ef250d29873329d,1.000
exact,4245f5354b653e32d85c1caaf250aa92,4245f5354b653e32d85c1caaf250aa92,1.000
exact,bfd02b7ad03355958593cad44112b2e5,bfd02b7ad03355958593cad44112b2e5,1.000
exact,def202ac487b816dbb80c32b7f708f28,def202ac487b816dbb80c32b7f708f28,1.000
exact,5d6480123bb661b358e5a9f92fa8f9d9,5d6480123bb661b358e5a9f92fa8f9d9,1.000
exact,400371d8ffdb9a99fed91e1bafa04cb8,400371d8ffdb9a99fed91e1bafa04cb8,1.000
exact,354f73d2f2413b6a9cff71d23b39e6c4,3250fd90ed5e1548e7da7b504988f150,1.000
exact,63e9c862c8aea4be14db04ee5c471a24,63e9c862c8aea4be14db04ee5c471a24,1.000
exact,56afb9be1168c62653d4c8fe9a73c669,56afb9be1168c62653d4c8fe9a73c669,1.000
exact,73954335fbc23dae08465600c9246413,73954335fbc23dae08465600c9246413,1.000
exact,5942b0f66ca2da243ed496d70112b4a4,5942b0f66ca2da243ed496d70112b4a4,1.000
exact,2060ec412a6524fa18d17937375cf762,2060ec412a6524fa18d17937375cf762,1.000
exact,af26c37d2cbac0d242ab74867eca3cf0,af26c37d2cbac0d242ab74867eca3cf0,1.000
exact,680e536d21de30e9db82672ef96e9cf8,680e536d21de30e9db82672ef96e9cf8,1.000
exact,e1af45a4d4525c0a7035bf40acb98ee6,e1af45a4d4525c0a7035bf40acb98ee6,1.000
exact,00cfefa887f25eebd27f61cf8b5eb9b2,00cfefa887f25eebd27f61cf8b5eb9b2,1.000
exact,0ad7912f7de28877cfba2e496713c5da,0ad7912f7de28877cfba2e496713c5da,1.000
exact,5cb1f6da04925add4fb744669929599e,5cb1f6da04925add4fb744669929599e,1.000
exact,cc5e4c42d27a96a611682f0e98465338,cc5e4c42d27a96a611682f0e98465338,1.000
exact,cd746898fddc66dac8ab009d6f3b7971,cd746898fddc66dac8ab009d6f3b7971,1.000
exact,172c39f85bbad945d7eb70e82aa6331b,172c39f85bbad945d7eb70e82aa6331b,1.000
exact,41f29299dbd838538fbb2c707e114e5a,41f29299dbd838538fbb2c707e114e5a,1.000
exact,0e15b3dc0564d31470ab5b61ba023d3a,0e15b3dc0564d31470ab5b61ba023d3a,1.000
exact,72277ae7707b8a39ac6dd68dede48f48,72277ae7707b8a39ac6dd68dede48f48,1.000
exact,eba34966b5922e74f64a7c8139365c88,eba34966b5922e74f64a7c8139365c88,1.000
exact,f2ca8e7810da621921020e00074ee5b7,f2ca8e7810da621921020e00074ee5b7,1.000
exact,1d961d2cc26b29627229fb4cbeecfbbc,1d961d2cc26b29627229fb4cbeecfbbc,1.000
exact,ce5efdb8cbc5bf620a98beb6ff3655d4,ce5efdb8cbc5bf620a98beb6ff3655d4,1.000
exact,7e9bad1f676f0a951d057f5aad3897e6,7e9bad1f676f0a951d057f5aad3897e6,1.000
exact,8d69c6bcff923d82aa72ffb38a5a68ed,8d69c6bcff923d82aa72ffb38a5a68ed,1.000
exact,353984bd9092a2ac86fa9814ff189c57,353984bd9092a2ac86fa9814ff189c57,1.000
exact,02dffea70263d2003edb19951e703bcf,02dffea70263d2003edb19951e703bcf,1.000
exact,ef0dc6f44d2de0626f4eeb8752dc4c0e,ef0dc6f44d2de0626f4eeb8752dc4c0e,1.000
exact,e1035c0de82f4fb329cf066f58f0e509,e1035c0de82f4fb329cf066f58f0e509,1.000
exact,13839c302d5ac34f528fe6cc66a99f92,13839c302d5ac34f528fe6cc66a99f92,1.000
exact,1aae71bde7d1ce44f7a1eb932f586e28,1aae71bde7d1ce44f7a1eb932f586e28,1.000
exact,2b2b83732e666ef0977d64f58ac9a2cc,2b2b83732e666ef0977d64f58ac9a2cc,1.000
exact,b10e31a5723840ed8b75a8cd0fae682c,b10e31a5723840ed8b75a8cd0fae682c,1.000
exact,4e25a5014b4179b90637b04f9902ac31,4e25a5014b4179b90637b04f9902ac31,1.000
exact,b93ca9be83f68ab39596c8e68fb48276,b93ca9be83f68ab39596c8e68fb48276,1.000
exact,f3fdf35c22001ab8f40d020e4d13bd87,f3fdf35c22001ab8f40d020e4d13bd87,1.000
exact,c04736c6845ab007c0d725e770b989d1,c04736c6845ab007c0d725e770b989d1,1.000
exact,ed2df552b34b4c2b258d02160c940c7d,ed2df552b34b4c2b258d02160c940c7d,1.000
exact,d6106c1ab720e9d333d591c19d863bd4,d6106c1ab720e9d333d591c19d863bd4,1.000
exact,b1686544dccebfb75846317e63cdabc8,b1686544dccebfb75846317e63cdabc8,1.000
