change_type,method_t_token_hash,method_t1_token_hash,similarity
exact,1b85033ad9fe8ed125c29bc81bc1c6fd,1b85033ad9fe8ed125c29bc81bc1c6fd,1.000
exact,f59ddcaebdfc17ec9607e97061c7350f,e700f988e06cbea54447e16114487eee,1.000
exact,dc3e2da33d9951732d2174511b654563,dc3e2da33d9951732d2174511b654563,1.000
exact,58865b67175f1b2c13b622ef620290c3,58865b67175f1b2c13b622ef620290c3,1.000
exact,234c0fd3f5b3908bb41255965b4def03,234c0fd3f5b3908bb41255965b4def03,1.000
exact,38780c151b0743c1ba05dcc4675c713b,38780c151b0743c1ba05dcc4675c713b,1.000
exact,138a8a60e7883bca7d5936c90e3b7d2d,138a8a60e7883bca7d5936c90e3b7d2d,1.000
exact,e99e107b743612f08945a6f3eb10477e,e99e107b743612f08945a6f3eb10477e,1.000
exact,ce42e468e277a698f5e1876128f9c272,ce42e468e277a698f5e1876128f9c272,1.000
exact,5f2c565fc773ca6fc64922301f29f2b9,5f2c565fc773ca6fc64922301f29f2b9,1.000
exact,01d2ff5e0de41f88c8867fbdfc607659,01d2ff5e0de41f88c8867fbdfc607659,1.000
exact,afadbb226207225eb3b4fe220a9181e4,ca7fac7b0886be6f209512bdb86bc3ed,1.000
exact,1e09230d5bdde58144232958532ed7f9,1e09230d5bdde58144232958532ed7f9,1.000
exact,72e6f66c1ab88c00bbf25aa84340b850,72e6f66c1ab88c00bbf25aa84340b850,1.000
exact,d1cc9e4ed5bd95f0a154e9c77e95213f,d1cc9e4ed5bd95f0a154e9c77e95213f,1.000
exact,5a65166edcf4be4bebc7337e539088af,5a65166edcf4be4bebc7337e539088af,1.000
exact,cfdd381193b4e68d0155f63892b4fa7c,cfdd381193b4e68d0155f63892b4fa7c,1.000
exact,94440d19a88525e282ac3f727689ba35,94440d19a88525e282ac3f727689ba35,1.000
exact,502f6c99ac004d139bf9145139203758,502f6c99ac004d139bf9145139203758,1.000
exact,b97702ffc7e4e79d53e697e57e8a272b,b97702ffc7e4e79d53e697e57e8a272b,1.000
exact,ca21f525cc951d4c8880948bfa020af6,ca21f525cc951d4c8880948bfa020af6,1.000
exact,cc94b1fb40ef798b2fc03fdf1da81285,cc94b1fb40ef798b2fc03fdf1da81285,1.000
