/app/Repos/pandas/bench/bench_unique.py,168,191,khash_unique,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],/app/Repos/pandas/bench/bench_unique.py,191,214,khash_unique_str,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any]
/app/Repos/pandas/bench/io_roundtrip.py,97,107,pandas_roundtrip,None,[filename:Any;dma1:Any;dma2:Any],/app/Repos/pandas/bench/serialize.py,74,83,pandas_roundtrip,None,[filename:Any;dma1:Any;dma2:Any]
/app/Repos/pandas/bench/bench_unique.py,30,37,algo1,None,[],/app/Repos/pandas/bench/bench_unique.py,37,46,algo2,None,[]
/app/Repos/pandas/bench/bench_unique.py,46,54,algo3_nosort,None,[],/app/Repos/pandas/bench/bench_unique.py,87,95,f2,None,[]
/app/Repos/pandas/bench/bench_unique.py,54,61,algo3_sort,None,[],/app/Repos/pandas/bench/bench_unique.py,87,95,f2,None,[]
/app/Repos/pandas/bench/bench_unique.py,168,191,khash_unique,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],/app/Repos/pandas/bench/bench_unique.py,214,228,khash_unique_int64,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any]
/app/Repos/pandas/bench/bench_unique.py,150,168,dict_unique,None,[values:Any;expected_K:Any;sort:Any;memory:Any],/app/Repos/pandas/bench/bench_unique.py,191,214,khash_unique_str,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any]
/app/Repos/pandas/bench/test.py,13,30,groupby1,None,[lat:Any;lon:Any;data:Any],/app/Repos/pandas/bench/test.py,30,45,group_mean,None,[lat:Any;lon:Any;data:Any]
/app/Repos/pandas/bench/bench_unique.py,46,54,algo3_nosort,None,[],/app/Repos/pandas/bench/bench_unique.py,54,61,algo3_sort,None,[]
/app/Repos/pandas/bench/bench_unique.py,191,214,khash_unique_str,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],/app/Repos/pandas/bench/bench_unique.py,214,228,khash_unique_int64,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any]
/app/Repos/pandas/scripts/testmed.py,33,42,__getitem__,None,[self:Any;i:Any],/app/Repos/pandas/scripts/testmed.py,42,68,insert,None,[self:Any;value:Any]
/app/Repos/pandas/scripts/groupby_sample.py,21,29,random_sample,None,[],/app/Repos/pandas/scripts/groupby_sample.py,29,37,random_sample_v2,None,[]
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,239,253,_From,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,321,333,_Import,None,[self:Any;t:Any]
/app/Repos/pandas/bench/bench_unique.py,46,54,algo3_nosort,None,[],/app/Repos/pandas/bench/bench_unique.py,95,134,algo4,None,[]
/app/Repos/pandas/bench/bench_unique.py,54,61,algo3_sort,None,[],/app/Repos/pandas/bench/bench_unique.py,95,134,algo4,None,[]
/app/Repos/pandas/doc/sphinxext/docscrape.py,189,244,_parse_see_also,None,[self:Any;content:Any],/app/Repos/pandas/doc/sphinxext/docscrape.py,199,210,parse_item_name,None,[text:Any]
/app/Repos/pandas/vb_suite/perf_HEAD.py,191,229,get_all_results,None,[repo_id:Any],/app/Repos/pandas/vb_suite/perf_HEAD.py,198,209,get_results_from_builds,None,[builds:Any]
/app/Repos/pandas/bench/bench_unique.py,87,95,f2,None,[],/app/Repos/pandas/bench/bench_unique.py,95,134,algo4,None,[]
/app/Repos/pandas/scripts/file_sizes.py,155,174,doit,None,[],/app/Repos/pandas/scripts/file_sizes.py,174,187,doit2,None,[]
/app/Repos/pandas/pandas/tools/tests/test_tile.py,26,32,test_bins,None,[self:Any],/app/Repos/pandas/pandas/tools/tests/test_tile.py,38,44,test_noright,None,[self:Any]
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,97,105,_And,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,167,178,_Bitor,None,[self:Any;t:Any]
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,156,167,_Bitand,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,167,178,_Bitor,None,[self:Any;t:Any]
/app/Repos/pandas/pandas/tools/tests/test_tile.py,32,38,test_right,None,[self:Any],/app/Repos/pandas/pandas/tools/tests/test_tile.py,38,44,test_noright,None,[self:Any]
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,97,105,_And,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,367,375,_Or,None,[self:Any;t:Any]
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,288,311,_If,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,311,321,_IfExp,None,[self:Any;t:Any]
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,156,167,_Bitand,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,367,375,_Or,None,[self:Any;t:Any]
/app/Repos/pandas/doc/sphinxext/docscrape.py,326,336,_str_param_list,None,[self:Any;name:Any],/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,57,98,_str_member_list,None,[self:Any;name:Any]
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,167,178,_Bitor,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,367,375,_Or,None,[self:Any;t:Any]
/app/Repos/pandas/scripts/bench_join.py,84,92,do_left_join_multi,None,[a:Any;b:Any;av:Any;bv:Any],/app/Repos/pandas/scripts/bench_join.py,92,104,do_outer_join_multi,None,[a:Any;b:Any;av:Any;bv:Any]
/app/Repos/pandas/scripts/bench_join.py,40,48,do_outer_join,None,[a:Any;b:Any;av:Any;bv:Any],/app/Repos/pandas/scripts/bench_join.py,48,55,do_inner_join,None,[a:Any;b:Any;av:Any;bv:Any]
/app/Repos/pandas/scripts/testmed.py,42,68,insert,None,[self:Any;value:Any],/app/Repos/pandas/scripts/testmed.py,68,89,remove,None,[self:Any;value:Any]
/app/Repos/pandas/pandas/tools/plotting.py,307,358,andrews_curves,None,[data:Any;class_column:Any;ax:Any;samples:Any],/app/Repos/pandas/pandas/tools/plotting.py,320,331,f,None,[x:Any]
/app/Repos/pandas/pandas/tools/plotting.py,319,333,function,None,[amplitudes:Any],/app/Repos/pandas/pandas/tools/plotting.py,320,331,f,None,[x:Any]
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,340,348,_List,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,367,375,_Or,None,[self:Any;t:Any]
/app/Repos/pandas/bench/bench_unique.py,150,168,dict_unique,None,[values:Any;expected_K:Any;sort:Any;memory:Any],/app/Repos/pandas/bench/bench_unique.py,168,191,khash_unique,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any]
/app/Repos/pandas/doc/sphinxext/comment_eater.py,22,29,add,None,[self:Any;string:Any;start:Any;end:Any;line:Any],/app/Repos/pandas/doc/sphinxext/comment_eater.py,42,50,add,None,[self:Any;string:Any;start:Any;end:Any;line:Any]
/app/Repos/pandas/doc/sphinxext/phantom_import.py,32,163,import_phantom_module,None,[xml_file:Any],/app/Repos/pandas/doc/sphinxext/phantom_import.py,63,76,_get_bases,None,[node:Any;recurse:Any]
/app/Repos/pandas/setup.py,354,370,_copy_from_cache,None,[self:Any;hash:Any;target:Any],/app/Repos/pandas/setup.py,370,380,_put_to_cache,None,[self:Any;hash:Any;src:Any]
/app/Repos/pandas/scripts/file_sizes.py,44,55,get_counts,None,[self:Any],/app/Repos/pandas/scripts/file_sizes.py,55,78,_count_function,None,[self:Any;indent_level:Any]
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,97,105,_And,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,156,167,_Bitand,None,[self:Any;t:Any]
/app/Repos/pandas/pandas/tools/tests/test_pivot.py,29,53,test_pivot_table,None,[self:Any],/app/Repos/pandas/pandas/tools/tests/test_pivot.py,65,72,test_pivot_table_multiple,None,[self:Any]
