pair_id,file1,start1,end1,file2,start2,end2,is_first_occurrence,pair_hash
1,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,32,43,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,65,76,True,6d63ea57d080fe1877893f7834ed3615
2,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,36,63,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,76,94,True,b99b70534143eb4c296a720d5eae3178
3,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,22,34,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,22,34,True,efc93791d691b8b27fc67a0ce7854741
4,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,21,45,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,60,84,True,fcf6e3fb80d427bb656364eaed29c4f2
5,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,21,45,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,92,111,True,67f4a60fdd7142c94965c145d2064c17
6,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,60,84,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,92,111,True,c830a9f32ce416fe426d6480be30113f
7,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,26,39,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,49,62,True,ef366543c1ed8c69c59fbb791221397f
8,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,166,188,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,219,228,True,ce6ca2b2a567993252dfa14b2746f78c
9,/app/Repos/pandas/asv_bench/benchmarks/plotting.py,29,41,/app/Repos/pandas/asv_bench/benchmarks/plotting.py,51,66,True,f0525b89f26c4e4173b9ce6d06008c9f
10,/app/Repos/pandas/asv_bench/benchmarks/hash_functions.py,50,55,/app/Repos/pandas/asv_bench/benchmarks/hash_functions.py,68,74,True,251802b2a20741e585593d50c7f0c4a9
11,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,92,111,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,128,147,True,b9b8945f071f0768a03a3f70a9a7331a
12,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,21,45,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,128,147,True,6234dd2758efb2909c25dbd7f9356a18
13,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,60,84,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,128,147,True,aef28a50062a3d982916567fbec0bcc0
14,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,76,88,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,76,88,True,80556c4559e785804cc58710f0286cef
15,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,111,169,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,218,275,True,195f0fc7fb780d3f41830f96fe987892
16,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,42,47,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,172,179,True,215c645eb306ff5d73b16125049c865b
17,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,195,210,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,218,275,True,97c70e0674a38b2a082989d9c7ae6f2d
18,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,119,131,/app/Repos/pandas/asv_bench/benchmarks/io/stata.py,20,43,True,c9ce7ac1ee10c6b839d5430ce750eee8
19,/app/Repos/pandas/asv_bench/benchmarks/gil.py,55,75,/app/Repos/pandas/asv_bench/benchmarks/gil.py,286,303,True,0451ea3a3f545496f2d4d03dc89547ed
20,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,21,27,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,32,44,True,6edecb06fe9f9ca9f9ed0bf303effc26
21,/app/Repos/pandas/asv_bench/benchmarks/arithmetic.py,203,223,/app/Repos/pandas/asv_bench/benchmarks/io/stata.py,20,43,True,25f3e53b558dc5da3959be7c11238549
22,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,22,34,/app/Repos/pandas/asv_bench/benchmarks/io/stata.py,20,43,True,b4de8c7467c613c63bfd274fa57c85aa
14,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,76,88,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,76,88,False,80556c4559e785804cc58710f0286cef
14,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,76,88,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,76,88,False,80556c4559e785804cc58710f0286cef
23,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,47,52,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,61,68,True,e28349b29cde12dd1b4884288b90b7af
24,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,111,169,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,195,210,True,bfae410e66658ffb1fff3c11bb67dafc
25,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,119,131,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,16,28,True,e9fcbdcb90760d69cb881c6b922e9365
26,/app/Repos/pandas/asv_bench/benchmarks/hash_functions.py,50,55,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,39,51,True,48c40d8e01fdede91a09263c282bd34e
27,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,16,28,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,16,28,True,017775d4e365568b17e8fd7cc4f69348
28,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,356,361,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,356,361,True,f31cd79b61aca5de8b542ef8be834ef5
29,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,42,47,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,244,249,True,2047e5ada794776569467621923022ea
30,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,172,179,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,244,249,True,ef1934d58e76d02989dcc9a8ea19afc0
31,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,217,222,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,244,249,True,f221e2bf3000192fb1822ddf03ef777c
32,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,152,159,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,244,249,True,d1a5feae8187ebba781233d3a02e4799
33,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,22,34,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,16,28,True,74b9553e774a43f10c5a5cdadca7fdf7
34,/app/Repos/pandas/asv_bench/benchmarks/period.py,87,92,/app/Repos/pandas/asv_bench/benchmarks/period.py,87,92,True,0995a6d1f4cfb8f3abc04a7c9464f0df
