change_type,method_t_token_hash,method_t1_token_hash,similarity
exact,3f6f11d0ca6aa1b8c6149ef9880ed351,3f6f11d0ca6aa1b8c6149ef9880ed351,1.000
exact,f40ad56782d243f862645009cc50760e,f40ad56782d243f862645009cc50760e,1.000
exact,ab0bb5aef5883e1b2e1df8fd388f7c38,ab0bb5aef5883e1b2e1df8fd388f7c38,1.000
exact,c2a945c4467a8b203474f182e3811317,c2a945c4467a8b203474f182e3811317,1.000
exact,8d7792efaadede64daa712de080c549c,8d7792efaadede64daa712de080c549c,1.000
exact,d08cfc84d3913ef88354bcf7b140970f,d08cfc84d3913ef88354bcf7b140970f,1.000
exact,f84fbf5daf30057f489a5391b7bb8898,f84fbf5daf30057f489a5391b7bb8898,1.000
exact,f84fbf5daf30057f489a5391b7bb8898,f84fbf5daf30057f489a5391b7bb8898,1.000
exact,5b9d275182b1f728c215db87aad2f65b,5b9d275182b1f728c215db87aad2f65b,1.000
exact,14d505f527bcefcaf760d1e4c598f0b4,14d505f527bcefcaf760d1e4c598f0b4,1.000
exact,556b67b6d8e4e9029ffbbd885c76b00c,556b67b6d8e4e9029ffbbd885c76b00c,1.000
exact,84da269ccb2bab26c2b7230811b2b935,84da269ccb2bab26c2b7230811b2b935,1.000
exact,3b3af0440a08de88aa240a6a0566a1d4,3b3af0440a08de88aa240a6a0566a1d4,1.000
exact,89211bece362678d30ef527a32f4b7bf,d430f4b1dd46cb3de55a0af8715baad2,1.000
exact,c7ae7c873b3968424e50619115577e8a,c7ae7c873b3968424e50619115577e8a,1.000
exact,b1d979072b684314bbfdbf9b31303801,b1d979072b684314bbfdbf9b31303801,1.000
exact,aaadd7b97fce0fe9e8d74291f20d0541,aaadd7b97fce0fe9e8d74291f20d0541,1.000
exact,a30f8e1373cd54960c77595d01ba4a15,a30f8e1373cd54960c77595d01ba4a15,1.000
exact,8e7e2b36d01118cfd960fc06aef93840,8e7e2b36d01118cfd960fc06aef93840,1.000
exact,5835f227f9232e0f778c5aa48a0b144f,5835f227f9232e0f778c5aa48a0b144f,1.000
exact,2ae341f11aeb5140b966b1603b4aa016,2ae341f11aeb5140b966b1603b4aa016,1.000
exact,f41991b1c62d04564cc9f42720e84c4b,f41991b1c62d04564cc9f42720e84c4b,1.000
exact,0ef47f82f52f4f2c943dd366f1b337ef,0ef47f82f52f4f2c943dd366f1b337ef,1.000
exact,92d5aa1e5aaf986fbe7ec2e701448032,92d5aa1e5aaf986fbe7ec2e701448032,1.000
exact,7ba97139efffd6926bbbba6cc02c09eb,7ba97139efffd6926bbbba6cc02c09eb,1.000
exact,29052d981acf30ddf711d4af46da8009,29052d981acf30ddf711d4af46da8009,1.000
exact,d7861d682ea9be5b96f0126d9521aba6,d7861d682ea9be5b96f0126d9521aba6,1.000
exact,814a669b3f362dddfdf2208ddde1af60,814a669b3f362dddfdf2208ddde1af60,1.000
exact,d9701a782af5d5eb28ac22f467d4cc07,d9701a782af5d5eb28ac22f467d4cc07,1.000
