change_type,method_t_token_hash,method_t1_token_hash,similarity
exact,3f6f11d0ca6aa1b8c6149ef9880ed351,3f6f11d0ca6aa1b8c6149ef9880ed351,1.000
exact,4a941e66585a785990402ffe8f16475f,4a941e66585a785990402ffe8f16475f,1.000
exact,ab0bb5aef5883e1b2e1df8fd388f7c38,3032a7f6bdd00e63de1c7535fe83111c,1.000
exact,c1d8d12f3ae89927f3b16d143d1cb3e5,c1d8d12f3ae89927f3b16d143d1cb3e5,1.000
exact,4cc15a7da0b99bade8e49dbe369fbd4f,4cc15a7da0b99bade8e49dbe369fbd4f,1.000
exact,3888337d7c3e9bdea2724ce64d45df23,3888337d7c3e9bdea2724ce64d45df23,1.000
exact,f84fbf5daf30057f489a5391b7bb8898,f84fbf5daf30057f489a5391b7bb8898,1.000
exact,f84fbf5daf30057f489a5391b7bb8898,f84fbf5daf30057f489a5391b7bb8898,1.000
exact,81db2b331bbfe92040eb5ccf99564f53,81db2b331bbfe92040eb5ccf99564f53,1.000
exact,3978b1a5c47f9ff751f81fcdc1cd1ae0,3978b1a5c47f9ff751f81fcdc1cd1ae0,1.000
exact,686c696bda9bd7e566530948b738a819,686c696bda9bd7e566530948b738a819,1.000
exact,70758818318e87b957c2daa392ce551d,70758818318e87b957c2daa392ce551d,1.000
exact,d430f4b1dd46cb3de55a0af8715baad2,d430f4b1dd46cb3de55a0af8715baad2,1.000
exact,14d505f527bcefcaf760d1e4c598f0b4,14d505f527bcefcaf760d1e4c598f0b4,1.000
exact,556b67b6d8e4e9029ffbbd885c76b00c,556b67b6d8e4e9029ffbbd885c76b00c,1.000
exact,84da269ccb2bab26c2b7230811b2b935,84da269ccb2bab26c2b7230811b2b935,1.000
exact,79b7abe6ae43668bc74fecddd31bd727,79b7abe6ae43668bc74fecddd31bd727,1.000
exact,46295008c22b07c08da99be290d292ca,46295008c22b07c08da99be290d292ca,1.000
exact,4bc1f34f3829b222649d5b522aa129a8,4bc1f34f3829b222649d5b522aa129a8,1.000
exact,3f602dda85ee0ee2d27395d281764ae5,3f602dda85ee0ee2d27395d281764ae5,1.000
exact,aaadd7b97fce0fe9e8d74291f20d0541,aaadd7b97fce0fe9e8d74291f20d0541,1.000
exact,a30f8e1373cd54960c77595d01ba4a15,a30f8e1373cd54960c77595d01ba4a15,1.000
exact,8e7e2b36d01118cfd960fc06aef93840,8e7e2b36d01118cfd960fc06aef93840,1.000
exact,5835f227f9232e0f778c5aa48a0b144f,5835f227f9232e0f778c5aa48a0b144f,1.000
exact,2ae341f11aeb5140b966b1603b4aa016,2ae341f11aeb5140b966b1603b4aa016,1.000
exact,f41991b1c62d04564cc9f42720e84c4b,f41991b1c62d04564cc9f42720e84c4b,1.000
exact,0ef47f82f52f4f2c943dd366f1b337ef,0ef47f82f52f4f2c943dd366f1b337ef,1.000
exact,92d5aa1e5aaf986fbe7ec2e701448032,92d5aa1e5aaf986fbe7ec2e701448032,1.000
exact,7ba97139efffd6926bbbba6cc02c09eb,7ba97139efffd6926bbbba6cc02c09eb,1.000
exact,29052d981acf30ddf711d4af46da8009,29052d981acf30ddf711d4af46da8009,1.000
exact,63970637262b96b85287b684ef48f3e2,63970637262b96b85287b684ef48f3e2,1.000
exact,00edbe8f19ecbbc27bca836dbb291b0b,00edbe8f19ecbbc27bca836dbb291b0b,1.000
exact,f43312bc8bae6c3cd2955adea84d90dc,f43312bc8bae6c3cd2955adea84d90dc,1.000
exact,2fb1b0d1d6817b5f7ad2879e9fa24d47,2fb1b0d1d6817b5f7ad2879e9fa24d47,1.000
exact,ca15863f0cbf7eaaf105f55612333c80,ca15863f0cbf7eaaf105f55612333c80,1.000
exact,44c71b551e82fea0f6512f080c85dc6b,44c71b551e82fea0f6512f080c85dc6b,1.000
exact,1c46fa36dc99d509eb40714c58357724,1c46fa36dc99d509eb40714c58357724,1.000
exact,3c8503fa606b04ca009f6196668d3ee4,3c8503fa606b04ca009f6196668d3ee4,1.000
exact,4f9a97fc1226bf0a67d412cfe914a5e0,4f9a97fc1226bf0a67d412cfe914a5e0,1.000
exact,c0043c82f0b1213fcf78f9371c06ea8b,c0043c82f0b1213fcf78f9371c06ea8b,1.000
exact,2f47f238bc3aae8836d360e5b9baf577,2f47f238bc3aae8836d360e5b9baf577,1.000
exact,3ca17b2727aea43d51f174ae59b43ac4,3ca17b2727aea43d51f174ae59b43ac4,1.000
exact,09f01a8cecfc0bae37be5e94510fe674,09f01a8cecfc0bae37be5e94510fe674,1.000
exact,ef6e7967c0f2119cef09b24d4f9c4568,ef6e7967c0f2119cef09b24d4f9c4568,1.000
exact,6cfb9733a7be2aade19751244d45cecb,6cfb9733a7be2aade19751244d45cecb,1.000
exact,d2cde2cb9620b19788aadf0a05fa73b0,d2cde2cb9620b19788aadf0a05fa73b0,1.000
exact,7afa882d1fd6c070a5312cf9161d6b6c,7afa882d1fd6c070a5312cf9161d6b6c,1.000
exact,6d5a27846d58d87c5d6878e0c4b099c6,6d5a27846d58d87c5d6878e0c4b099c6,1.000
exact,8036c8f86dcc8242cc7bbbbb779c6601,8036c8f86dcc8242cc7bbbbb779c6601,1.000
exact,f9be3cb42aacd43d85d3cd16bfc0f02b,f9be3cb42aacd43d85d3cd16bfc0f02b,1.000
exact,e0043c6352eea2c9bb683815bd53c814,e0043c6352eea2c9bb683815bd53c814,1.000
exact,2753463851842c2467320887be333957,2753463851842c2467320887be333957,1.000
exact,09d89f331271ebf2eeab3a631f227c4b,09d89f331271ebf2eeab3a631f227c4b,1.000
exact,5d7effdd14cf1ae4df372d2ad03bcbfc,5d7effdd14cf1ae4df372d2ad03bcbfc,1.000
exact,6f9d3eab9ca18504143b7a3df07951dd,6f9d3eab9ca18504143b7a3df07951dd,1.000
