method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
000c4667faab582ee940027638284711,d1b9b4d368f0ac1fc12a1168c6ba4a94,stable_unchanged,exact,exact,1.0,1.0
0036d1bc6c879f086f1aa07bc80503b1,6ae106e0569f344a8839ab11c6a6111b,stable_unchanged,exact,exact,1.0,1.0
0036d1bc6c879f086f1aa07bc80503b1,9eaa473b25525c86c47453b920ed0ec1,stable_unchanged,exact,exact,1.0,1.0
0038317ba4c648a11c70b4047b400316,bbd66bea90ace52679c5f5f97c404487,stable_unchanged,exact,exact,1.0,1.0
004022c97b5af34b5e0bccccfbe89c50,121cc7bc6b922bd5f0655790f7b19cfa,stable_unchanged,exact,exact,1.0,1.0
004a5f89fdcb51666bf91cfabc2f5951,3f83c93f80b5ae3e57f504b7a7f8574b,stable_unchanged,exact,exact,1.0,1.0
004a5f89fdcb51666bf91cfabc2f5951,6ef8a2621650ea9e9fe272c4954c6575,stable_unchanged,exact,exact,1.0,1.0
004a5f89fdcb51666bf91cfabc2f5951,cced121d8de37d8bc5ef49bb99075454,stable_unchanged,exact,exact,1.0,1.0
0055ba669caba6b1615e10b3ab7b0a5a,95dbe51a9a174078d325c86318cd1e59,stable_unchanged,exact,exact,1.0,1.0
005778b2908db9a5aa1154f95a61a39f,f5f35b8424d2ac82fcd90da92e4d72fe,stable_unchanged,exact,exact,1.0,1.0
005b5b2bfc2ad48d38066bf22aaaafde,5cf21d27acafc39bf308d3a6fc3f5bc7,stable_unchanged,exact,exact,1.0,1.0
005b5b2bfc2ad48d38066bf22aaaafde,8ce9c909b9af8bd6fcda08736e3a1547,stable_unchanged,exact,exact,1.0,1.0
00604167811f70d56128b28180335149,22e130b30d9d1a68af81bc65ffa99d23,stable_unchanged,exact,exact,1.0,1.0
00604167811f70d56128b28180335149,ffe535651d2f213222ed3629cd8f5e47,stable_unchanged,exact,exact,1.0,1.0
007174f792a59501c2f5b4fefba01729,e25a7c31882d14190b33f208838c0efe,stable_unchanged,exact,exact,1.0,1.0
007f148de0239136fcd096642395b1d9,38d0f7a3d7c7c7ad35997a6b0f9dadf8,stable_unchanged,exact,exact,1.0,1.0
0084fa03e05ce7a9ac34e66d3018e5a3,41c4e09d53759d377052de39ea973a36,stable_unchanged,exact,exact,1.0,1.0
0086ceca8a67023f56b37017c8e6559f,a535582e369b35e2d35898b8e25415eb,stable_unchanged,exact,exact,1.0,1.0
008bd270bc239fed8b9bbdbba56462f8,eb33e0cba8a5fd24fa5990db6c386582,stable_unchanged,exact,exact,1.0,1.0
009246da6b97470c959428ed382520a8,4111654ff2cc9fb09f1b246eeb2d34f2,stable_unchanged,exact,exact,1.0,1.0
009246da6b97470c959428ed382520a8,4a57f908a7304a17725c10bed38b56e7,stable_unchanged,exact,exact,1.0,1.0
009246da6b97470c959428ed382520a8,64be616c12163440b0b15836c7ef6f58,stable_unchanged,exact,exact,1.0,1.0
